f[Hz], Vout[V],dT[us]
200.7,1.74,40 
501,1.72,20
999,1.68,16
5017,1.46,16
5999,1.38,14
6992,1.32,14
7993,1.24,14
8980,1.18,13.60
30028,0.464,6.60
100000,0.144, 2.32
