f[Hz], Vout[V],dT[us]
200.2,0.150,1120
500.9,0.364,420
801.0,0.560,250
1001,0.680,200
1501,0.952,112
1997,1.17,72
2500,1.33,52
2599,1.36,48
2700,1.39,44
2800,1.40,42
2903,1.42,40
