t[s],CH1,CH2
1.002,-9.6,0.02
1.004,-9.6,0.0
1.006,-9.6,0.0
1.008,-9.6,0.0
1.01,-9.4,0.0
1.012,-9.4,0.04
1.014,-9.4,0.0
1.016,-9.4,0.02
1.018,-9.4,0.02
1.02,-9.4,0.02
1.022,-9.4,0.02
1.024,-9.4,0.04
1.026,-9.4,0.06
1.028,-9.4,0.06
1.03,-9.2,0.06
1.032,-9.4,0.06
1.034,-9.4,0.06
1.036,-9.4,0.06
1.038,-9.4,0.06
1.04,-9.2,0.08
1.042,-9.2,0.1
1.044,-9.2,0.06
1.046,-9.2,0.1
1.048,-9.2,0.1
1.05,-9.2,0.12
1.052,-9.2,0.1
1.054,-9.2,0.1
1.056,-9.2,0.1
1.058,-9.2,0.12
1.06,-9.2,0.12
1.062,-9.2,0.12
1.064,-9.2,0.12
1.066,-9.2,0.12
1.068,-9.2,0.12
1.07,-9.0,0.12
1.072,-9.0,0.14
1.074,-9.0,0.16
1.076,-9.0,0.16
1.078,-9.0,0.16
1.08,-9.0,0.18
1.082,-9.0,0.22
1.084,-9.0,0.26
1.086,-9.0,0.32
1.088,-9.0,0.34
1.09,-9.0,0.26
1.092,-9.0,0.22
1.094,-9.0,0.28
1.096,-9.0,0.38
1.098,-9.0,0.48
1.1,-9.0,0.56
1.102,-9.0,0.72
1.104,-9.0,0.82
1.106,-9.0,0.8
1.108,-9.0,0.64
1.11,-8.8,0.56
1.112,-8.8,0.52
1.114,-8.8,0.64
1.116,-8.8,0.86
1.118,-8.8,1.14
1.12,-8.8,1.34
1.122,-8.8,1.26
1.124,-8.8,1.08
1.126,-8.8,0.98
1.128,-8.8,1.1
1.13,-8.8,1.24
1.132,-8.8,1.46
1.134,-8.8,1.58
1.136,-8.8,1.7
1.138,-8.8,1.68
1.14,-8.8,1.6
1.142,-8.6,1.5
1.144,-8.8,1.56
1.146,-8.8,1.78
1.148,-8.6,1.88
1.15,-8.6,1.88
1.152,-8.6,1.88
1.154,-8.6,1.94
1.156,-8.6,1.98
1.158,-8.6,2.02
1.16,-8.6,2.02
1.162,-8.6,2.02
1.164,-8.6,2.0
1.166,-8.6,2.0
1.168,-8.6,2.0
1.17,-8.6,1.92
1.172,-8.6,1.9
1.174,-8.6,1.92
1.176,-8.6,1.92
1.178,-8.6,1.9
1.18,-8.4,1.84
1.182,-8.4,1.7
1.184,-8.4,1.62
1.186,-8.4,1.6
1.188,-8.4,1.58
1.19,-8.4,1.5
1.192,-8.4,1.5
1.194,-8.4,1.5
1.196,-8.4,1.44
1.198,-8.4,1.32
1.2,-8.4,1.3
1.202,-8.4,1.3
1.204,-8.4,1.2
1.206,-8.4,1.08
1.208,-8.4,1.04
1.21,-8.4,1.08
1.212,-8.4,1.0
1.214,-8.4,0.88
1.216,-8.4,0.84
1.218,-8.4,0.96
1.22,-8.4,0.94
1.222,-8.4,0.86
1.224,-8.2,0.76
1.226,-8.2,0.72
1.228,-8.2,0.66
1.23,-8.2,0.6
1.232,-8.2,0.58
1.234,-8.2,0.64
1.236,-8.2,0.64
1.238,-8.2,0.58
1.24,-8.2,0.5
1.242,-8.2,0.46
1.244,-8.2,0.42
1.246,-8.2,0.4
1.248,-8.0,0.36
1.25,-8.0,0.4
1.252,-8.0,0.4
1.254,-8.0,0.34
1.256,-8.0,0.28
1.258,-8.0,0.24
1.26,-8.0,0.24
1.262,-8.0,0.22
1.264,-8.0,0.22
1.266,-8.0,0.22
1.268,-8.0,0.2
1.27,-8.0,0.18
1.272,-8.0,0.18
1.274,-8.0,0.16
1.276,-8.0,0.14
1.278,-8.0,0.14
1.28,-7.8,0.12
1.282,-8.0,0.12
1.284,-7.8,0.12
1.286,-7.8,0.12
1.288,-8.0,0.12
1.29,-7.8,0.12
1.292,-7.8,0.1
1.294,-7.8,0.1
1.296,-7.8,0.08
1.298,-7.8,0.08
1.3,-7.8,0.1
1.302,-7.8,0.08
1.304,-7.8,0.06
1.306,-7.8,0.06
1.308,-7.8,0.06
1.31,-7.8,0.08
1.312,-7.6,0.06
1.314,-7.8,0.06
1.316,-7.8,0.04
1.318,-7.8,0.04
1.32,-7.6,0.06
1.322,-7.6,0.06
1.324,-7.6,0.04
1.326,-7.6,0.06
1.328,-7.6,0.04
1.33,-7.6,0.04
1.332,-7.6,0.0
1.334,-7.6,0.02
1.336,-7.6,0.04
1.338,-7.6,0.02
1.34,-7.6,0.0
1.342,-7.6,0.02
1.344,-7.6,0.02
1.346,-7.6,0.02
1.348,-7.6,0.02
1.35,-7.6,0.0
1.352,-7.6,0.02
1.354,-7.6,0.02
1.356,-7.4,0.0
1.358,-7.4,0.0
1.36,-7.6,0.02
1.362,-7.4,0.02
1.364,-7.4,0.0
1.366,-7.4,0.0
1.368,-7.4,0.0
1.37,-7.4,0.0
1.372,-7.4,0.02
1.374,-7.4,0.0
1.376,-7.4,0.0
1.378,-7.4,0.0
1.38,-7.2,0.0
1.382,-7.4,0.0
1.384,-7.4,0.0
1.386,-7.4,0.0
1.388,-7.2,0.0
1.39,-7.2,0.0
1.392,-7.2,-0.02
1.394,-7.2,-0.02
1.396,-7.4,-0.02
1.398,-7.2,0.0
1.4,-7.2,-0.04
