t[s],CH1,CH2
1.5,-8.0,-0.02
1.5019999999999998,-8.2,-0.04
1.504,-8.0,0.0
1.506,-8.0,-0.02
1.508,-8.0,-0.02
1.51,-8.0,-0.02
1.5119999999999998,-8.0,-0.02
1.514,-8.0,-0.04
1.516,-8.0,-0.04
1.518,-8.0,0.0
1.52,-8.0,-0.02
1.5219999999999998,-8.0,-0.02
1.524,-8.0,-0.02
1.526,-8.0,-0.02
1.528,-8.0,-0.02
1.53,-8.0,-0.02
1.5319999999999998,-8.0,-0.02
1.534,-8.0,-0.02
1.536,-7.8,-0.02
1.538,-7.8,-0.04
1.54,-7.8,-0.02
1.5419999999999998,-8.0,-0.04
1.544,-7.8,0.0
1.546,-7.8,-0.02
1.548,-7.8,-0.02
1.55,-7.8,-0.02
1.5519999999999998,-8.0,-0.02
1.554,-7.8,-0.02
1.556,-7.8,-0.04
1.558,-7.8,0.0
1.56,-7.8,-0.02
1.5619999999999998,-7.8,-0.02
1.564,-7.8,-0.02
1.5659999999999998,-7.8,-0.02
1.568,-7.8,-0.04
1.57,-7.8,-0.02
1.5719999999999998,-7.8,-0.04
1.574,-7.6,0.0
1.5759999999999998,-7.6,0.0
1.578,-7.6,-0.02
1.58,-7.8,-0.02
1.5819999999999999,-7.6,-0.02
1.584,-7.6,-0.02
1.5859999999999999,-7.6,-0.02
1.588,-7.6,0.0
1.59,-7.6,0.0
1.5919999999999999,-7.6,-0.02
1.594,-7.6,-0.04
1.5959999999999999,-7.6,-0.02
1.598,-7.6,-0.04
1.6,-7.6,-0.04
1.6019999999999999,-7.6,-0.04
1.604,-7.6,-0.02
1.6059999999999999,-7.6,-0.04
1.608,-7.6,-0.02
1.61,-7.4,0.0
1.6119999999999999,-7.4,-0.04
1.614,-7.6,-0.02
1.6159999999999999,-7.4,-0.04
1.618,-7.4,-0.04
1.62,-7.4,-0.04
1.6219999999999999,-7.4,-0.02
1.624,-7.4,-0.02
1.626,-7.4,-0.02
1.6280000000000001,-7.4,-0.02
1.63,-7.4,-0.04
1.632,-7.4,-0.02
1.6340000000000001,-7.4,0.0
1.636,-7.4,-0.04
1.6380000000000001,-7.4,-0.02
1.64,-7.2,-0.04
1.642,-7.2,-0.02
1.6440000000000001,-7.2,-0.04
1.646,-7.2,-0.02
1.6480000000000001,-7.2,-0.04
1.65,-7.2,-0.04
1.652,-7.2,-0.02
1.6540000000000001,-7.2,-0.04
1.656,-7.2,-0.04
1.6580000000000001,-7.2,-0.02
1.66,-7.2,-0.02
1.662,-7.2,-0.02
1.6640000000000001,-7.2,-0.02
1.666,-7.2,-0.02
1.6680000000000001,-7.2,0.0
1.67,-7.2,-0.02
1.672,-7.2,0.0
1.6740000000000002,-7.2,-0.04
1.676,-7.2,-0.04
1.6780000000000002,-7.2,-0.02
1.68,-7.2,-0.02
1.682,-7.2,-0.04
1.6840000000000002,-7.0,-0.04
1.686,-7.2,-0.02
1.6880000000000002,-7.2,-0.04
1.69,-7.2,-0.02
1.692,-7.0,0.0
1.694,-7.0,-0.02
1.696,-7.2,-0.02
1.6980000000000002,-7.0,-0.02
1.7,-7.0,-0.02
1.702,-7.0,-0.02
1.704,-7.0,-0.04
1.706,-7.0,-0.06
1.7080000000000002,-7.0,-0.02
1.71,-7.0,-0.02
1.712,-7.0,-0.04
1.714,-7.0,-0.02
1.716,-7.0,-0.04
1.7180000000000002,-7.0,-0.02
1.72,-6.8,-0.02
1.722,-6.8,-0.04
1.724,-6.8,-0.04
1.726,-6.8,0.0
1.7280000000000002,-6.8,-0.02
1.73,-6.8,-0.04
1.732,-6.8,-0.02
1.734,-6.8,-0.04
1.736,-6.8,-0.02
1.7380000000000002,-6.8,-0.04
1.74,-6.8,-0.02
1.742,-6.8,-0.02
