t[s],CH1,CH2
1.172,-8.6,1.9
1.174,-8.6,1.92
1.176,-8.6,1.92
1.178,-8.6,1.9
1.18,-8.4,1.84
1.182,-8.4,1.7
1.184,-8.4,1.62
1.186,-8.4,1.6
1000,95-95,1000
2.5,-0.8,1.72
2.502,-0.8,1.78
2.504,-0.8,1.88
2.506,-0.8,1.96
2.508,-0.8,1.96
2.51,-0.8,1.98
2.512,-0.8,1.98
2.514,-0.8,1.98
2.516,-0.8,2.0
2.518,-0.8,2.0
2.52,-0.8,1.98
2.522,-0.8,1.92
2.524,-0.8,1.9
2.526,-0.8,1.9
2.528,-0.8,1.88
2.53,-0.8,1.8
2000,95-95,2000
3.726,6.2,1.86
3.728,6.2,1.9
3.73,6.2,1.94
3.732,6.4,1.98
3.734,6.2,2.0
3.736,6.2,2.02
3.738,6.2,2.0
3.74,6.4,2.0
3.742,6.4,1.96
3.744,6.4,1.92
3.746,6.4,1.88
3000,95-95,3000
