t[s],CH1,CH2
1.992,-3.8,2.4
1.994,-3.8,2.08
1.996,-3.8,2.08
1.998,-3.8,1.92
2.0,-3.8,2.0
2.002,-3.8,1.92
2.004,-3.8,1.76
2.006,-3.8,1.6
2.008,-3.8,1.44
2.01,-3.8,1.52
2.012,-3.8,1.52
2.014,-3.8,1.52
2.016,-3.8,1.36
2.018,-3.8,1.28
2.02,-3.8,1.2
2.022,-3.8,1.2
2.024,-3.6,1.2
2.026,-3.8,1.2
2.028,-3.6,1.2
2.03,-3.6,0.96
2.032,-3.6,1.04
2.034,-3.6,0.88
2.036,-3.6,0.88
2.038,-3.6,0.96
2.04,-3.6,0.96
2.042,-3.6,0.88
2.044,-3.6,0.8
2.046,-3.6,0.88
2.048,-3.6,0.72
2.05,-3.4,0.72
2.052,-3.6,0.72
2.054,-3.6,0.72
2.056,-3.6,0.72
2.058,-3.6,0.72
2.06,-3.4,0.64
2.062,-3.4,0.64
2.064,-3.4,0.64
2.066,-3.4,0.56
2.068,-3.4,0.64
2.07,-3.4,0.56
2.072,-3.4,0.56
2.074,-3.2,0.48
2.076,-3.4,0.48
2.078,-3.4,0.48
2.08,-3.4,0.48
2.082,-3.4,0.48
2.084,-3.4,0.48
2.086,-3.4,0.48
2.088,-3.4,0.48
2.09,-3.4,0.48
2.092,-3.2,0.4
2.094,-3.2,0.4
2.096,-3.2,0.4
2.098,-3.2,0.4
2.1,-3.2,0.4
2.102,-3.2,0.4
2.104,-3.2,0.4
2.106,-3.2,0.32
2.108,-3.2,0.32
2.11,-3.2,0.32
2.112,-3.2,0.4
2.114,-3.2,0.4
2.116,-3.2,0.32
2.118,-3.2,0.4
2.12,-3.2,0.32
2.122,-3.2,0.32
2.124,-3.0,0.32
2.126,-3.0,0.32
2.128,-3.0,0.32
2.13,-3.0,0.24
2.132,-3.2,0.32
2.134,-3.0,0.24
2.136,-3.0,0.32
2.138,-3.0,0.24
2.14,-3.0,0.24
2.142,-3.0,0.24
2.144,-2.8,0.24
2.146,-3.0,0.24
2.148,-3.0,0.24
2.15,-2.8,0.24
2.152,-2.8,0.24
2.154,-2.8,0.24
2.156,-3.0,0.24
2.158,-2.8,0.16
2.16,-2.8,0.24
2.162,-2.8,0.24
2.164,-2.8,0.16
2.166,-2.8,0.24
2.168,-2.8,0.24
2.17,-2.8,0.16
2.172,-2.8,0.16
2.174,-2.8,0.16
2.176,-2.8,0.16
2.178,-2.8,0.16
2.18,-2.8,0.24
2.182,-2.6,0.16
2.184,-2.8,0.16
2.186,-2.8,0.16
2.188,-2.8,0.08
2.19,-2.8,0.24
2.192,-2.8,0.24
2.194,-2.6,0.16
2.196,-2.6,0.16
2.198,-2.6,0.16
2.2,-2.6,0.24
2.202,-2.6,0.16
2.204,-2.6,0.16
2.206,-2.6,0.16
2.208,-2.4,0.16
2.21,-2.6,0.16
2.212,-2.4,0.16
2.214,-2.6,0.16
2.216,-2.6,0.16
2.218,-2.6,0.16
2.22,-2.6,0.16
2.222,-2.6,0.16
2.224,-2.4,0.16
2.226,-2.4,0.16
2.228,-2.4,0.16
2.23,-2.4,0.08
2.232,-2.4,0.08
2.234,-2.4,0.08
2.236,-2.4,0.08
2.238,-2.4,0.08
2.24,-2.4,0.16
2.242,-2.4,0.08
2.244,-2.4,0.08
2.246,-2.4,0.08
2.248,-2.4,0.08
2.25,-2.4,0.08
2.252,-2.4,0.16
2.254,-2.2,0.16
2.256,-2.4,0.08
2.258,-2.4,0.16
2.26,-2.2,0.08
2.262,-2.2,0.08
2.264,-2.2,0.08
2.266,-2.2,0.08
2.268,-2.2,0.08
2.27,-2.2,0.16
2.272,-2.2,0.08
2.274,-2.2,0.08
2.276,-2.4,0.08
2.278,-2.2,0.08
2.28,-2.2,0.08
2.282,-2.2,0.08
2.284,-2.2,0.0
2.286,-2.0,0.08
2.288,-2.2,0.08
2.29,-2.2,0.08
2.292,-2.0,0.08
2.294,-2.0,0.08
2.296,-2.0,0.08
2.298,-2.2,0.08
2.3,-2.2,0.08
2.302,-2.0,0.08
2.304,-2.0,0.08
2.306,-2.2,0.08
2.308,-2.0,0.0
2.31,-2.0,0.08
2.312,-2.0,0.08
2.314,-2.0,0.08
2.316,-2.0,0.08
2.318,-2.0,0.08
2.32,-2.0,0.08
2.322,-2.0,0.08
2.324,-2.0,0.08
2.326,-2.0,0.08
2.328,-2.0,0.08
2.33,-1.8,0.08
2.332,-2.0,0.08
2.334,-1.8,0.08
2.336,-1.8,0.08
2.338,-1.8,0.08
2.34,-2.0,0.08
2.342,-1.8,0.08
2.344,-1.8,0.08
2.346,-1.8,0.08
2.348,-1.8,0.08
2.35,-1.8,0.08
2.352,-1.8,0.08
2.354,-1.8,0.08
2.356,-1.8,0.08
2.358,-1.8,0.08
2.36,-1.8,0.08
2.362,-1.6,0.08
2.364,-1.8,0.08
2.366,-1.8,0.08
2.368,-1.6,0.0
2.37,-1.8,0.08
2.372,-1.6,0.08
2.374,-1.6,0.08
2.376,-1.6,0.08
2.378,-1.6,0.08
2.38,-1.6,0.0
2.382,-1.6,0.0
2.384,-1.6,0.08
2.386,-1.6,0.08
2.388,-1.6,0.0
2.39,-1.6,0.0
2.392,-1.6,0.08
2.394,-1.6,0.0
