t[s],CH1,CH2
0.25,-3.8,0.24
0.251,-3.8,0.3
0.252,-3.8,0.26
0.253,-3.8,0.3
0.254,-3.8,0.32
0.255,-3.8,0.26
0.256,-3.8,0.36
0.257,-3.8,0.38
0.258,-3.8,0.34
0.259,-3.8,0.42
0.26,-3.8,0.4
0.261,-3.8,0.56
0.262,-3.8,0.44
0.263,-3.8,0.46
0.264,-3.6,0.78
0.265,-3.8,0.44
0.266,-3.8,0.84
0.267,-3.6,0.48
0.268,-3.6,1.0
0.269,-3.8,0.58
0.27,-3.8,0.86
0.271,-3.8,1.02
0.272,-3.8,0.68
0.273,-3.8,1.4
0.274,-3.6,0.66
0.275,-3.8,1.4
0.276,-3.6,0.92
0.277,-3.8,1.42
0.278,-3.6,1.1
0.279,-3.6,1.32
0.28,-3.6,1.62
0.281,-3.6,1.04
0.282,-3.6,2.0
0.283,-3.6,1.18
0.284,-3.6,1.9
0.285,-3.6,1.64
0.286,-3.6,1.6
0.287,-3.6,2.24
0.288,-3.6,1.46
0.289,-3.6,2.12
0.29,-3.8,2.12
0.291,-3.6,1.88
0.292,-3.6,2.48
0.293,-3.6,1.84
0.294,-3.6,2.6
0.295,-3.6,2.18
0.296,-3.6,2.62
0.297,-3.6,2.24
0.298,-3.6,2.58
0.299,-3.6,2.74
0.3,-3.6,2.44
0.301,-3.6,3.04
0.302,-3.6,2.42
0.303,-3.6,2.96
0.304,-3.6,2.82
0.305,-3.4,3.0
0.306,-3.6,3.02
0.307,-3.6,2.96
0.308,-3.6,3.14
0.309,-3.4,3.08
0.31,-3.6,3.2
0.311,-3.6,3.22
0.312,-3.6,3.16
0.313,-3.6,3.3
0.314,-3.6,3.12
0.315,-3.6,3.3
0.316,-3.4,3.06
0.317,-3.4,3.2
0.318,-3.4,3.08
0.319,-3.4,3.12
0.32,-3.6,3.2
0.321,-3.4,3.12
0.322,-3.4,3.28
0.323,-3.4,3.28
0.324,-3.4,3.14
0.325,-3.4,3.28
0.326,-3.4,3.06
