t[s],CH1,CH2
2.0,-8.8,0.2
2.002,-8.8,0.2
2.004,-8.8,0.16
2.006,-8.8,0.2
2.008,-8.8,0.2
2.01,-8.8,0.2
2.012,-8.6,0.2
2.014,-8.8,0.2
2.016,-8.8,0.2
2.018,-8.6,0.2
2.02,-8.8,0.2
2.022,-8.8,0.2
2.024,-8.6,0.2
2.026,-8.6,0.24
2.028,-8.6,0.24
2.03,-8.6,0.24
2.032,-8.6,0.2
2.034,-8.6,0.24
2.036,-8.6,0.24
2.038,-8.6,0.24
2.04,-8.6,0.24
2.042,-8.6,0.24
2.044,-8.4,0.24
2.046,-8.4,0.24
2.048,-8.6,0.24
2.05,-8.4,0.24
2.052,-8.4,0.28
2.054,-8.4,0.24
2.056,-8.4,0.24
2.058,-8.4,0.24
2.06,-8.4,0.28
2.062,-8.4,0.24
2.064,-8.4,0.24
2.066,-8.4,0.24
2.068,-8.2,0.28
2.07,-8.4,0.28
2.072,-8.4,0.28
2.074,-8.4,0.28
2.076,-8.4,0.28
2.078,-8.4,0.28
2.08,-8.2,0.28
2.082,-8.4,0.28
2.084,-8.4,0.28
2.086,-8.2,0.28
2.088,-8.4,0.28
2.09,-8.4,0.28
2.092,-8.2,0.28
2.094,-8.2,0.28
2.096,-8.2,0.28
2.098,-8.2,0.32
2.1,-8.2,0.32
2.102,-8.2,0.32
2.104,-8.2,0.32
2.106,-8.2,0.32
2.108,-8.2,0.32
2.11,-8.2,0.36
2.112,-8.2,0.32
2.114,-8.0,0.36
2.116,-8.2,0.36
2.118,-8.2,0.36
2.12,-8.0,0.36
2.122,-8.0,0.36
2.124,-8.0,0.36
2.126,-8.0,0.36
2.128,-8.0,0.36
2.13,-8.0,0.36
2.132,-8.0,0.4
2.134,-8.0,0.4
2.136,-8.0,0.4
2.138,-8.0,0.4
2.14,-8.0,0.4
2.142,-8.0,0.44
2.144,-8.0,0.4
2.146,-8.0,0.44
2.148,-7.8,0.44
2.15,-8.0,0.4
2.152,-7.8,0.44
2.154,-8.0,0.44
2.156,-7.8,0.44
2.158,-7.8,0.48
2.16,-7.8,0.48
2.162,-8.0,0.48
2.164,-7.8,0.48
2.166,-7.8,0.48
2.168,-7.8,0.52
2.17,-7.8,0.48
2.172,-7.8,0.52
2.174,-7.8,0.56
2.176,-7.8,0.52
2.178,-7.6,0.56
2.18,-7.8,0.52
2.182,-7.6,0.56
2.184,-7.6,0.56
2.186,-7.6,0.6
2.188,-7.6,0.6
2.19,-7.6,0.6
2.192,-7.6,0.6
2.194,-7.6,0.64
2.196,-7.6,0.64
2.198,-7.8,0.64
2.2,-7.6,0.68
2.202,-7.6,0.68
2.204,-7.6,0.68
2.206,-7.6,0.72
