t[s],CH1,CH2
0.5,-10.2,0.08
0.502,-10.2,0.08
0.504,-10.2,0.08
0.506,-10.2,0.08
0.508,-10.2,0.08
0.51,-10.0,0.08
0.512,-10.0,0.08
0.514,-10.0,0.08
0.516,-10.0,0.08
0.518,-10.0,0.08
0.52,-10.0,0.08
0.522,-10.0,0.088
0.524,-10.0,0.096
0.526,-10.0,0.096
0.528,-10.0,0.104
0.53,-10.0,0.104
0.532,-10.0,0.104
0.534,-10.0,0.096
0.536,-10.0,0.104
0.538,-10.0,0.112
0.54,-10.0,0.12
0.542,-10.0,0.128
0.544,-10.0,0.136
0.546,-10.0,0.152
0.548,-10.0,0.176
0.55,-9.8,0.176
0.552,-10.0,0.168
0.554,-9.8,0.16
0.556,-9.8,0.16
0.558,-9.8,0.176
0.56,-9.8,0.192
0.562,-9.8,0.184
0.564,-9.8,0.192
0.566,-9.8,0.2
0.568,-9.8,0.216
0.57,-9.8,0.248
0.572,-9.8,0.272
0.574,-9.8,0.288
0.576,-9.6,0.264
0.578,-9.8,0.264
0.58,-9.6,0.28
0.582,-9.8,0.288
0.584,-9.6,0.304
0.586,-9.6,0.312
0.588,-9.6,0.36
0.59,-9.6,0.424
0.592,-9.6,0.472
0.594,-9.6,0.512
0.596,-9.6,0.544
0.598,-9.6,0.528
0.6,-9.6,0.536
0.602,-9.6,0.504
0.604,-9.6,0.544
0.606,-9.6,0.52
0.608,-9.6,0.512
0.61,-9.6,0.52
0.612,-9.6,0.528
0.614,-9.6,0.536
0.616,-9.6,0.528
0.618,-9.6,0.56
0.62,-9.4,0.6
0.622,-9.6,0.64
0.624,-9.4,0.688
0.626,-9.6,0.752
0.628,-9.4,0.768
0.63,-9.4,0.8
0.632,-9.4,0.808
0.634,-9.4,0.848
0.636,-9.4,0.88
0.638,-9.4,0.936
0.64,-9.4,0.952
0.642,-9.2,0.976
0.644,-9.4,1.016
0.646,-9.4,1.104
0.648,-9.4,1.128
0.65,-9.4,1.08
0.652,-9.2,1.096
0.654,-9.2,1.104
0.656,-9.2,1.2
0.658,-9.2,1.208
0.66,-9.2,1.16
0.662,-9.2,1.208
0.664,-9.2,1.224
0.666,-9.2,1.272
0.668,-9.2,1.312
0.67,-9.2,1.336
0.672,-9.2,1.376
0.674,-9.2,1.336
0.676,-9.2,1.384
0.678,-9.2,1.416
0.68,-9.2,1.432
0.682,-9.2,1.448
0.684,-9.2,1.472
0.686,-9.0,1.472
0.688,-9.0,1.464
0.69,-9.2,1.488
0.692,-9.2,1.496
0.694,-9.2,1.52
0.696,-9.0,1.536
0.698,-9.2,1.536
0.7,-9.0,1.536
0.702,-9.0,1.536
0.704,-9.0,1.536
0.706,-9.0,1.536
0.708,-9.0,1.536
0.71,-9.0,1.528
0.712,-9.0,1.528
0.714,-9.0,1.536
0.716,-8.8,1.52
0.718,-8.8,1.488
0.72,-9.0,1.472
0.722,-9.0,1.464
0.724,-9.0,1.504
0.726,-9.0,1.52
0.728,-9.0,1.528
0.73,-9.0,1.512
0.732,-8.8,1.448
0.734,-8.8,1.352
0.736,-8.8,1.264
0.738,-8.8,1.192
0.74,-8.8,1.16
0.742,-8.8,1.176
0.744,-8.8,1.28
0.746,-8.8,1.384
0.748,-8.8,1.424
0.75,-8.8,1.44
0.752,-8.8,1.416
0.754,-8.8,1.36
0.756,-8.8,1.256
0.758,-8.8,1.168
0.76,-8.8,1.088
0.762,-8.8,1.024
0.764,-8.8,1.008
0.766,-8.8,1.016
0.768,-8.6,1.04
0.77,-8.8,1.072
0.772,-8.6,1.12
0.774,-8.6,1.104
0.776,-8.6,1.12
0.778,-8.6,1.112
