 x[mm], I[mV]
 0, 10
 0.25, 16
 0.5, 18
 0.75, 20
 1, 29
 1.25, 38
 1.5, 41
 1.75, 43
 2, 59
 2.25, 68
 2.5, 71
 2.75, 88
 3, 101
 3.25, 111
 3.5, 156
 3.75, 140
 4, 123
 4.25, 206
 4.5, 196
 4.75, 123
 4.9, 478
 5.05, 1980
 5.2,4800
 5.35, 8250
 5.5 , 10900
 5.65, 12400
 5.8, 13300
 6.25, 12500
 6.40, 10500
 6.55, 7960
 6.7, 5400
 6.85, 3150
 7, 1730
 7.15, 1200
 7.30, 1230
 7.45, 1350
 7.6, 1120
 7.75, 610
 8, 260
 8.25, 550
 8.5, 234
 9, 160
 9.5, 140
 10, 114
 
   
   
   
