 x[mm], I[mV]
  5.34,  7320
     6,  7050
  6.25, 6400
   6.5, 4670
  6.75, 2680
     7,  1080
  7.25,  230
   7.5,  50
  7.75,  176
     8,  268
  8.25,  213
   8.5,  93
   8.75, 22
   9,   34
   9.25,  79
   9.5,   92
   9.75,  63
   10,  24
   5,   1265
   4.75,  440
   4.5,  254
   4.25,  340
   4, 370
   3.75, 262
   3.5, 112
   3.25, 37
   3, 60
   2.75, 109
   2.5, 116
   2.25, 73
   2, 27
   1.75, 16
   1.5, 34
   1.25, 72
   1, 45
   
   
   
